"Name","Sex","Group","Date","Stimulus","Note","Filename","Right_foot_centerline_dist_mean","Right_foot_centerline_dist_sd","Right_foot_centerline_dist_Kurtosis","Right_foot_centerline_dist_Skewness","Left_foot_centerline_dist_mean","Left_foot_centerline_dist_sd","Left_foot_centerline_dist_Kurtosis","Left_foot_centerline_dist_Skewness"
"210219S2subM1","M","S2sub",2021-03-12 13:19:49,1,"","2021-03-12 08-19-49 210219S2subM1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",62.6651788267677,24.4038823875679,2.06987663278201,0.0896510829270598,45.2562724074911,18.7341854633059,3.6364859671789,0.959449039399886
"210223GM5","M","G",2021-03-12 13:43:10,1,"","2021-03-12 08-43-10 210223GM5 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",26.3660521645488,16.8207326741302,4.82445157416033,1.06482497486274,20.6030957686504,19.8896254858709,9.150523950339,1.99657150585625
"210223GF2","F","G",2021-03-15 15:57:28,1,"","2021-03-15 11-57-28 210223GF2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",37.5889265036383,25.3883494858555,4.04935520227466,1.31999797918071,18.7466485668842,25.5446803886251,8.78897916416523,2.33795280330965
"210219GF4","F","G",2021-03-15 16:26:26,1,"","2021-03-15 12-26-26 210219GF4 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",50.5834388645991,19.7031832412401,3.44404028722633,0.487097263142153,33.1355665018259,21.2743490447101,2.93035596405942,0.587191082479441
"210219S12subM6","M","S12sub",2021-03-15 16:57:01,1,"","2021-03-15 12-57-01 210219S12subM6 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",12.499832458499,8.4132695228702,13.3446828094131,2.61452766215134,7.66218875886604,8.88311431615557,14.4581313288312,2.79245944767089
"210219GM4","M","G",2021-03-16 12:32:33,1,"","2021-03-16 08-32-33 210219GM4 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",54.7289918850418,38.5270021467971,2.93437855637699,0.704563876326832,58.8895562056742,40.2683757995139,2.9433202340328,0.776686826302578
"210223GF1","F","G",2021-03-16 12:58:02,1,"","2021-03-16 08-58-02 210223GF1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",52.325340870479,27.975439498488,3.45829266536794,0.580001497240137,36.454686781461,28.0002602796377,3.89581144371407,1.10190286162361
"210219S12subM3","M","S12sub",2021-03-16 13:18:17,1,"","2021-03-16 09-18-17 210219S12subM3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",71.5956689954126,34.5469186097553,47.3858944057889,2.40580366280303,73.0912661548712,43.2074030123224,2.52010205944429,0.375520287244648
"210222S11M2","M","S11",2021-03-16 14:26:20,1,"","2021-03-16 10-26-20 210222S11M2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",17.3274694558451,13.4113831716427,8.26257145156252,1.76525015464824,19.0386611129997,15.0815645468464,6.87557370303018,1.72429971885945
"210222S11F1","F","S11",2021-03-16 15:04:23,1,"","2021-03-16 11-04-23 210222S11F1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",37.1358914388048,29.110331064196,4.88234075804454,1.41139878992633,39.5804929070371,38.3106676442369,2.05396253060007,0.682828677425444
"210219GM3","M","G",2021-03-16 15:21:57,1,"","2021-03-16 11-21-57 210219GM3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",58.1735728990315,45.2214149760232,2.05511097270139,0.542866336738094,48.9420938536942,39.2590978114581,2.24542288698808,0.647982260086428
"210219GF2","F","G",2021-03-17 14:20:32,1,"","2021-03-17 10-20-32 210219GF2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",32.6763420976188,30.9029669633023,3.43476634403922,1.22247145927716,28.4734733466888,23.5455213486421,6.76845203801748,1.58526870713034
